,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
0,0,1,Damian Lillard,30-321,G,2021-06-01*,POR,@,DEN,L,55,1,52,17,24,.708,5,7,.714,12,17,.706,9,10,.900,1,5,6,10,1,3,1,0,55.9,31.1
1,1,2,Giannis Antetokounmpo,26-226,F-G,2021-07-20*,MIL,,PHO,W,50,1,42,16,25,.640,15,22,.682,1,3,.333,17,19,.895,4,10,14,2,0,5,6,2,42.0,18.9
2,2,3,Jayson Tatum,23-086,F,2021-05-28*,BOS,,BRK,W,50,1,41,16,30,.533,11,19,.579,5,11,.455,13,15,.867,0,6,6,7,2,1,1,3,41.8,21.0
3,3,4,Kevin Durant,32-259,F-G,2021-06-15*,BRK,,MIL,W,49,1,48,16,23,.696,12,14,.857,4,9,.444,13,16,.813,0,17,17,10,3,2,3,3,50.4,24.6
4,4,5,Kevin Durant,32-263,F-G,2021-06-19*,BRK,,MIL,L,48,1,53,17,36,.472,13,25,.520,4,11,.364,10,11,.909,1,8,9,6,1,1,3,4,33.6,10.4
5,5,6,Trae Young,22-277,G,2021-06-23*,ATL,@,MIL,W,48,1,41,17,34,.500,13,21,.619,4,13,.308,10,12,.833,1,6,7,11,1,0,6,3,34.2,12.7
6,6,7,Devin Booker,24-216,G,2021-06-03*,PHO,@,LAL,W,47,1,46,15,22,.682,7,12,.583,8,10,.800,9,9,1.000,0,11,11,3,0,1,3,2,39.9,15.5
7,7,8,Ja Morant,21-289,G,2021-05-26*,MEM,@,UTA,L,47,1,43,15,26,.577,13,19,.684,2,7,.286,15,20,.750,2,2,4,7,0,0,4,3,34.5,5.2
8,8,9,Luka Dončić,22-098,G-F,2021-06-06*,DAL,@,LAC,L,46,1,45,17,30,.567,12,19,.632,5,11,.455,7,11,.636,0,7,7,14,0,0,6,3,34.9,15.4
9,9,10,Kawhi Leonard,29-340,F,2021-06-04*,LAC,@,DAL,W,45,1,42,18,25,.720,13,16,.813,5,9,.556,4,4,1.000,2,4,6,3,2,0,4,1,37.0,20.8
10,10,11,Donovan Mitchell,24-274,G,2021-06-08*,UTA,,LAC,W,45,1,37,16,30,.533,10,15,.667,6,15,.400,7,8,.875,0,3,3,5,1,1,3,0,33.1,21.3
11,11,12,Luka Dončić,22-089,G-F,2021-05-28*,DAL,,LAC,L,44,1,39,15,28,.536,8,15,.533,7,13,.538,7,13,.538,2,7,9,9,1,0,5,2,33.0,19.2
12,12,13,Giannis Antetokounmpo,26-214,F-G,2021-07-08*,MIL,@,PHO,L,42,1,40,15,22,.682,14,17,.824,1,5,.200,11,18,.611,4,8,12,4,1,3,3,3,36.7,18.0
13,13,14,Devin Booker,24-257,G,2021-07-14*,PHO,@,MIL,L,42,1,39,17,28,.607,17,25,.680,0,3,.000,8,9,.889,1,0,1,2,0,1,4,5,25.6,4.9
14,14,15,Luka Dončić,22-094,G-F,2021-06-02*,DAL,@,LAC,W,42,1,43,17,37,.459,11,25,.440,6,12,.500,2,3,.667,1,7,8,14,1,0,4,2,31.3,17.2
15,15,16,Kevin Durant,32-243,F-G,2021-05-30*,BRK,@,BOS,W,42,1,40,14,20,.700,11,17,.647,3,3,1.000,11,11,1.000,1,3,4,5,1,2,1,4,38.5,12.8
16,16,17,Damian Lillard,30-313,G,2021-05-24*,POR,@,DEN,L,42,1,42,11,24,.458,2,8,.250,9,16,.563,11,13,.846,0,4,4,10,0,1,3,1,34.3,15.2
17,17,18,Giannis Antetokounmpo,26-217,F-G,2021-07-11*,MIL,,PHO,W,41,1,38,14,23,.609,14,21,.667,0,2,.000,13,17,.765,4,9,13,6,1,0,1,3,37.4,17.6
18,18,19,Paul George,31-057,F,2021-06-28*,LAC,@,PHO,W,41,1,41,15,20,.750,12,14,.857,3,6,.500,8,8,1.000,0,13,13,6,3,0,6,2,37.3,16.9
19,19,20,James Harden,31-275,G,2021-05-28*,BRK,@,BOS,L,41,1,39,11,18,.611,4,6,.667,7,12,.583,12,13,.923,1,6,7,10,1,0,2,1,40.5,24.7
20,20,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
21,21,21,Kawhi Leonard,29-330,F,2021-05-25*,LAC,,DAL,L,41,1,41,14,21,.667,10,14,.714,4,7,.571,9,10,.900,2,4,6,4,2,0,2,2,36.1,14.8
22,22,22,Chris Paul,36-055,G,2021-06-30*,PHO,@,LAC,W,41,1,35,16,24,.667,9,16,.563,7,8,.875,2,3,.667,1,3,4,8,3,0,0,2,39.6,29.0
23,23,23,Giannis Antetokounmpo,26-195,F-G,2021-06-19*,MIL,@,BRK,W,40,1,50,15,24,.625,13,18,.722,2,6,.333,8,14,.571,2,11,13,5,0,1,3,3,31.5,10.8
24,24,24,Devin Booker,24-233,G,2021-06-20*,PHO,,LAC,W,40,1,44,15,29,.517,12,22,.545,3,7,.429,7,7,1.000,1,12,13,11,0,0,2,3,34.5,6.9
25,25,25,Devin Booker,24-260,G,2021-07-17*,PHO,,MIL,L,40,1,42,17,33,.515,15,29,.517,2,4,.500,4,5,.800,1,3,4,3,2,1,2,5,25.7,-1.0
26,26,26,Joel Embiid,27-084,C,2021-06-08*,PHI,,ATL,W,40,1,35,13,25,.520,11,20,.550,2,5,.400,12,16,.750,1,12,13,2,2,1,3,5,29.5,8.0
27,27,27,Khris Middleton,29-336,F-G,2021-07-14*,MIL,,PHO,W,40,1,43,15,33,.455,12,25,.480,3,8,.375,7,8,.875,0,6,6,4,2,0,1,1,27.7,10.2
28,28,28,Jayson Tatum,23-088,F,2021-05-30*,BOS,,BRK,L,40,1,40,10,22,.455,7,15,.467,3,7,.429,17,17,1.000,1,6,7,5,1,2,2,3,33.8,9.7
29,29,29,Luka Dončić,22-086,G-F,2021-05-25*,DAL,@,LAC,W,39,1,38,16,29,.552,11,16,.688,5,13,.385,2,7,.286,0,7,7,7,1,1,7,3,23.6,-0.1
30,30,30,Kevin Durant,32-241,F-G,2021-05-28*,BRK,@,BOS,L,39,1,40,13,24,.542,9,15,.600,4,9,.444,9,12,.750,0,9,9,1,4,1,3,1,30.9,11.8
31,31,31,Joel Embiid,27-082,C,2021-06-06*,PHI,,ATL,L,39,1,38,12,21,.571,11,18,.611,1,3,.333,14,15,.933,2,7,9,4,1,3,4,4,32.5,9.1
32,32,32,Kyrie Irving,29-068,G,2021-05-30*,BRK,@,BOS,W,39,1,41,11,24,.458,5,12,.417,6,12,.500,11,11,1.000,3,8,11,2,2,0,1,4,31.9,3.3
33,33,33,Terance Mann,24-243,G-F,2021-06-18*,LAC,,UTA,W,39,1,36,15,21,.714,8,11,.727,7,10,.700,2,2,1.000,1,1,2,1,2,0,0,4,32.4,12.8
34,34,34,Donovan Mitchell,24-284,G,2021-06-18*,UTA,@,LAC,L,39,1,40,12,27,.444,3,12,.250,9,15,.600,6,9,.667,1,8,9,9,1,0,2,3,30.9,14.5
35,35,35,Trae Young,22-270,G,2021-06-16*,ATL,@,PHI,W,39,1,40,10,23,.435,8,17,.471,2,6,.333,17,19,.895,1,0,1,7,3,0,2,4,31.1,14.7
36,36,36,Nikola Jokić,26-102,C-F,2021-06-01*,DEN,,POR,W,38,1,46,14,31,.452,11,22,.500,3,9,.333,7,8,.875,3,8,11,9,1,4,2,1,33.7,11.0
37,37,37,Nikola Jokić,26-094,C-F,2021-05-24*,DEN,,POR,W,38,1,31,15,20,.750,13,16,.813,2,4,.500,6,6,1.000,3,5,8,5,1,0,4,5,32.1,16.6
38,38,38,Khris Middleton,29-319,F-G,2021-06-27*,MIL,@,ATL,W,38,1,42,15,26,.577,9,14,.643,6,12,.500,2,2,1.000,0,11,11,7,0,0,4,4,28.4,9.5
39,39,39,Khris Middleton,29-309,F-G,2021-06-17*,MIL,,BRK,W,38,1,42,11,16,.688,6,8,.750,5,8,.625,11,12,.917,1,9,10,5,5,0,4,0,38.7,25.4
40,40,40,Joel Embiid,27-092,C,2021-06-16*,PHI,,ATL,L,37,1,39,12,20,.600,10,16,.625,2,4,.500,11,13,.846,2,11,13,5,2,4,5,3,33.8,17.4
41,41,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
42,42,41,Paul George,31-045,F,2021-06-16*,LAC,@,UTA,W,37,1,40,12,22,.545,9,13,.692,3,9,.333,10,11,.909,3,13,16,5,1,2,5,4,31.3,9.2
